ts,iso,port,address,kind,name,value,unit,extra,usertag
1758623907.883,2025-09-23 12:38:27,/dev/ttyUSB2,3,measure,fMeasure,260.01274,,1 samples,H2
1758623909.083,2025-09-23 12:38:29,/dev/ttyUSB2,3,measure,fMeasure,259.92420,,2 samples,H2
1758623910.483,2025-09-23 12:38:30,/dev/ttyUSB2,3,measure,fMeasure,259.90785,,1 samples,H2
1758623912.083,2025-09-23 12:38:32,/dev/ttyUSB2,3,measure,fMeasure,260.06078,,1 samples,H2
1758623913.084,2025-09-23 12:38:33,/dev/ttyUSB2,3,measure,fMeasure,260.00533,,1 samples,H2
1758623914.085,2025-09-23 12:38:34,/dev/ttyUSB2,3,measure,fMeasure,259.95158,,1 samples,H2
1758623915.284,2025-09-23 12:38:35,/dev/ttyUSB2,3,measure,fMeasure,260.08549,,1 samples,H2
1758623916.483,2025-09-23 12:38:36,/dev/ttyUSB2,3,measure,fMeasure,260.06301,,1 samples,H2
1758623921.682,2025-09-23 12:38:41,/dev/ttyUSB2,3,measure,fMeasure,260.17329,,1 samples,H2
1758623922.683,2025-09-23 12:38:42,/dev/ttyUSB2,3,measure,fMeasure,260.12334,,4 samples,H2
1758623923.683,2025-09-23 12:38:43,/dev/ttyUSB2,3,measure,fMeasure,260.09806,,2 samples,H2
1758623924.683,2025-09-23 12:38:44,/dev/ttyUSB2,3,measure,fMeasure,260.02515,,1 samples,H2
1758623925.885,2025-09-23 12:38:45,/dev/ttyUSB2,3,measure,fMeasure,260.07276,,3 samples,H2
1758623927.084,2025-09-23 12:38:47,/dev/ttyUSB2,3,measure,fMeasure,260.04711,,2 samples,H2
1758623928.283,2025-09-23 12:38:48,/dev/ttyUSB2,3,measure,fMeasure,259.99113,,2 samples,H2
1758623929.482,2025-09-23 12:38:49,/dev/ttyUSB2,3,measure,fMeasure,259.92729,,1 samples,H2
1758623930.483,2025-09-23 12:38:50,/dev/ttyUSB2,3,measure,fMeasure,260.00214,,1 samples,H2
1758623932.283,2025-09-23 12:38:52,/dev/ttyUSB2,3,measure,fMeasure,260.04595,,1 samples,H2
1758623933.284,2025-09-23 12:38:53,/dev/ttyUSB2,3,measure,fMeasure,260.00178,,3 samples,H2
1758623935.082,2025-09-23 12:38:55,/dev/ttyUSB2,3,measure,fMeasure,259.92667,,1 samples,H2
1758623936.883,2025-09-23 12:38:56,/dev/ttyUSB2,3,measure,fMeasure,260.03033,,1 samples,H2
1758623938.083,2025-09-23 12:38:58,/dev/ttyUSB2,3,measure,fMeasure,260.05040,,1 samples,H2
1758623939.283,2025-09-23 12:38:59,/dev/ttyUSB2,3,measure,fMeasure,259.96806,,2 samples,H2
1758623940.482,2025-09-23 12:39:00,/dev/ttyUSB2,3,measure,fMeasure,260.15927,,1 samples,H2
1758623942.483,2025-09-23 12:39:02,/dev/ttyUSB2,3,measure,fMeasure,259.93880,,1 samples,H2
1758623943.885,2025-09-23 12:39:03,/dev/ttyUSB2,3,measure,fMeasure,260.02342,,1 samples,H2
1758623945.084,2025-09-23 12:39:05,/dev/ttyUSB2,3,measure,fMeasure,259.96207,,1 samples,H2
1758623946.283,2025-09-23 12:39:06,/dev/ttyUSB2,3,measure,fMeasure,260.02092,,1 samples,H2
1758623948.283,2025-09-23 12:39:08,/dev/ttyUSB2,3,measure,fMeasure,259.95883,,1 samples,H2
1758623949.284,2025-09-23 12:39:09,/dev/ttyUSB2,3,measure,fMeasure,260.09414,,1 samples,H2
1758623951.882,2025-09-23 12:39:11,/dev/ttyUSB2,3,measure,fMeasure,259.99424,,1 samples,H2
1758623955.082,2025-09-23 12:39:15,/dev/ttyUSB2,3,measure,fMeasure,259.98987,,1 samples,H2
1758623957.084,2025-09-23 12:39:17,/dev/ttyUSB2,3,measure,fMeasure,259.97482,,1 samples,H2
1758623958.282,2025-09-23 12:39:18,/dev/ttyUSB2,3,measure,fMeasure,259.96163,,2 samples,H2
1758623959.883,2025-09-23 12:39:19,/dev/ttyUSB2,3,measure,fMeasure,259.96834,,1 samples,H2
1758623961.083,2025-09-23 12:39:21,/dev/ttyUSB2,3,measure,fMeasure,259.98085,,2 samples,H2
1758623962.089,2025-09-23 12:39:22,/dev/ttyUSB2,3,measure,fMeasure,259.93313,,1 samples,H2
1758623963.283,2025-09-23 12:39:23,/dev/ttyUSB2,3,measure,fMeasure,260.00923,,2 samples,H2
1758623964.683,2025-09-23 12:39:24,/dev/ttyUSB2,3,measure,fMeasure,260.00172,,1 samples,H2
1758623965.683,2025-09-23 12:39:25,/dev/ttyUSB2,3,measure,fMeasure,259.99384,,1 samples,H2
1758623966.884,2025-09-23 12:39:26,/dev/ttyUSB2,3,measure,fMeasure,260.00101,,1 samples,H2
1758623968.082,2025-09-23 12:39:28,/dev/ttyUSB2,3,measure,fMeasure,259.78481,,5 samples,H2
1758623971.682,2025-09-23 12:39:31,/dev/ttyUSB2,3,measure,fMeasure,260.18832,,1 samples,H2
1758623972.883,2025-09-23 12:39:32,/dev/ttyUSB2,3,measure,fMeasure,260.05900,,2 samples,H2
1758623973.837,2025-09-23 12:39:33,/dev/ttyUSB2,3,setpoint,fSetpoint,220.0,,,H2
1758623973.884,2025-09-23 12:39:33,/dev/ttyUSB2,3,measure,fMeasure,260.00745,,4 samples,H2
1758623974.885,2025-09-23 12:39:34,/dev/ttyUSB2,3,measure,fMeasure,253.66975,,2 samples,H2
1758623976.083,2025-09-23 12:39:36,/dev/ttyUSB2,3,measure,fMeasure,244.37083,,1 samples,H2
1758623977.083,2025-09-23 12:39:37,/dev/ttyUSB2,3,measure,fMeasure,232.50595,,1 samples,H2
1758623979.283,2025-09-23 12:39:39,/dev/ttyUSB2,3,measure,fMeasure,221.27136,,1 samples,H2
1758623980.283,2025-09-23 12:39:40,/dev/ttyUSB2,3,measure,fMeasure,220.68543,,1 samples,H2
1758623981.483,2025-09-23 12:39:41,/dev/ttyUSB2,3,measure,fMeasure,220.60308,,1 samples,H2
1758623983.684,2025-09-23 12:39:43,/dev/ttyUSB2,3,measure,fMeasure,220.03868,,1 samples,H2
1758623984.685,2025-09-23 12:39:44,/dev/ttyUSB2,3,measure,fMeasure,219.94587,,2 samples,H2
1758623986.285,2025-09-23 12:39:46,/dev/ttyUSB2,3,measure,fMeasure,220.45031,,1 samples,H2
1758623987.484,2025-09-23 12:39:47,/dev/ttyUSB2,3,measure,fMeasure,220.40134,,2 samples,H2
1758623988.683,2025-09-23 12:39:48,/dev/ttyUSB2,3,measure,fMeasure,219.91240,,1 samples,H2
1758623989.684,2025-09-23 12:39:49,/dev/ttyUSB2,3,measure,fMeasure,219.89943,,1 samples,H2
1758623990.883,2025-09-23 12:39:50,/dev/ttyUSB2,3,measure,fMeasure,219.73958,,1 samples,H2
1758623991.885,2025-09-23 12:39:51,/dev/ttyUSB2,3,measure,fMeasure,219.65616,,1 samples,H2
1758623993.082,2025-09-23 12:39:53,/dev/ttyUSB2,3,measure,fMeasure,219.75221,,2 samples,H2
1758623994.084,2025-09-23 12:39:54,/dev/ttyUSB2,3,measure,fMeasure,219.78848,,1 samples,H2
1758623995.283,2025-09-23 12:39:55,/dev/ttyUSB2,3,measure,fMeasure,219.79080,,1 samples,H2
1758623997.741,2025-09-23 12:39:57,/dev/ttyUSB2,3,setpoint,fSetpoint,220.0,,,H2
1758624000.482,2025-09-23 12:40:00,/dev/ttyUSB2,3,measure,fMeasure,219.97282,,1 samples,H2
1758624002.083,2025-09-23 12:40:02,/dev/ttyUSB2,3,measure,fMeasure,219.99180,,1 samples,H2
1758624008.082,2025-09-23 12:40:08,/dev/ttyUSB2,3,measure,fMeasure,219.98791,,1 samples,H2
1758624009.283,2025-09-23 12:40:09,/dev/ttyUSB2,3,measure,fMeasure,219.91351,,1 samples,H2
1758624010.683,2025-09-23 12:40:10,/dev/ttyUSB2,3,measure,fMeasure,219.98853,,1 samples,H2
1758624011.883,2025-09-23 12:40:11,/dev/ttyUSB2,3,measure,fMeasure,219.95292,,3 samples,H2
1758624013.083,2025-09-23 12:40:13,/dev/ttyUSB2,3,measure,fMeasure,219.96813,,1 samples,H2
1758624014.083,2025-09-23 12:40:14,/dev/ttyUSB2,3,measure,fMeasure,219.93112,,2 samples,H2
1758624016.482,2025-09-23 12:40:16,/dev/ttyUSB2,3,measure,fMeasure,219.98833,,1 samples,H2
1758624017.483,2025-09-23 12:40:17,/dev/ttyUSB2,3,measure,fMeasure,219.98381,,2 samples,H2
1758624018.683,2025-09-23 12:40:18,/dev/ttyUSB2,3,measure,fMeasure,219.89619,,1 samples,H2
1758624019.683,2025-09-23 12:40:19,/dev/ttyUSB2,3,measure,fMeasure,219.95338,,3 samples,H2
1758624021.883,2025-09-23 12:40:21,/dev/ttyUSB2,3,measure,fMeasure,219.97215,,1 samples,H2
1758624022.883,2025-09-23 12:40:22,/dev/ttyUSB2,3,measure,fMeasure,219.91834,,2 samples,H2
1758624023.884,2025-09-23 12:40:23,/dev/ttyUSB2,3,measure,fMeasure,220.00042,,2 samples,H2
1758624025.082,2025-09-23 12:40:25,/dev/ttyUSB2,3,measure,fMeasure,219.94501,,1 samples,H2
1758624026.083,2025-09-23 12:40:26,/dev/ttyUSB2,3,measure,fMeasure,219.94296,,2 samples,H2
1758624027.884,2025-09-23 12:40:27,/dev/ttyUSB2,3,measure,fMeasure,219.98305,,1 samples,H2
1758624029.082,2025-09-23 12:40:29,/dev/ttyUSB2,3,measure,fMeasure,219.71576,,1 samples,H2
1758624030.283,2025-09-23 12:40:30,/dev/ttyUSB2,3,measure,fMeasure,219.84771,,1 samples,H2
1758624031.283,2025-09-23 12:40:31,/dev/ttyUSB2,3,measure,fMeasure,219.91514,,1 samples,H2
1758624032.283,2025-09-23 12:40:32,/dev/ttyUSB2,3,measure,fMeasure,219.84609,,2 samples,H2
1758624033.485,2025-09-23 12:40:33,/dev/ttyUSB2,3,measure,fMeasure,219.90521,,1 samples,H2
1758624034.683,2025-09-23 12:40:34,/dev/ttyUSB2,3,measure,fMeasure,219.86672,,1 samples,H2
1758624037.483,2025-09-23 12:40:37,/dev/ttyUSB2,3,measure,fMeasure,219.94967,,1 samples,H2
1758624038.883,2025-09-23 12:40:38,/dev/ttyUSB2,3,measure,fMeasure,219.89768,,1 samples,H2
1758624042.882,2025-09-23 12:40:42,/dev/ttyUSB2,3,measure,fMeasure,219.83369,,1 samples,H2
1758624043.883,2025-09-23 12:40:43,/dev/ttyUSB2,3,measure,fMeasure,219.89532,,1 samples,H2
1758624045.884,2025-09-23 12:40:45,/dev/ttyUSB2,3,measure,fMeasure,219.94345,,1 samples,H2
1758624047.684,2025-09-23 12:40:47,/dev/ttyUSB2,3,measure,fMeasure,219.97495,,1 samples,H2
1758624048.883,2025-09-23 12:40:48,/dev/ttyUSB2,3,measure,fMeasure,219.94898,,1 samples,H2
1758624050.283,2025-09-23 12:40:50,/dev/ttyUSB2,3,measure,fMeasure,220.08584,,1 samples,H2
1758624051.883,2025-09-23 12:40:51,/dev/ttyUSB2,3,measure,fMeasure,219.91173,,1 samples,H2
1758624052.884,2025-09-23 12:40:52,/dev/ttyUSB2,3,measure,fMeasure,219.90030,,1 samples,H2
1758624054.083,2025-09-23 12:40:54,/dev/ttyUSB2,3,measure,fMeasure,219.98924,,1 samples,H2
1758624055.483,2025-09-23 12:40:55,/dev/ttyUSB2,3,measure,fMeasure,219.88478,,1 samples,H2
1758624058.685,2025-09-23 12:40:58,/dev/ttyUSB2,3,measure,fMeasure,219.82224,,1 samples,H2
1758624061.083,2025-09-23 12:41:01,/dev/ttyUSB2,3,measure,fMeasure,220.02437,,1 samples,H2
1758624063.083,2025-09-23 12:41:03,/dev/ttyUSB2,3,measure,fMeasure,219.90792,,1 samples,H2
1758624064.083,2025-09-23 12:41:04,/dev/ttyUSB2,3,measure,fMeasure,220.03774,,5 samples,H2
1758624066.682,2025-09-23 12:41:06,/dev/ttyUSB2,3,measure,fMeasure,219.91452,,1 samples,H2
1758624067.683,2025-09-23 12:41:07,/dev/ttyUSB2,3,measure,fMeasure,219.89905,,1 samples,H2
1758624068.683,2025-09-23 12:41:08,/dev/ttyUSB2,3,measure,fMeasure,219.87707,,1 samples,H2
1758624069.883,2025-09-23 12:41:09,/dev/ttyUSB2,3,measure,fMeasure,219.83626,,1 samples,H2
1758624070.883,2025-09-23 12:41:10,/dev/ttyUSB2,3,measure,fMeasure,220.00470,,1 samples,H2
1758624071.883,2025-09-23 12:41:11,/dev/ttyUSB2,3,measure,fMeasure,219.93000,,1 samples,H2
1758624073.883,2025-09-23 12:41:13,/dev/ttyUSB2,3,measure,fMeasure,220.00611,,1 samples,H2
1758624075.483,2025-09-23 12:41:15,/dev/ttyUSB2,3,measure,fMeasure,219.95026,,1 samples,H2
