ts,iso,port,address,kind,name,value,unit,extra
1758490253.484,2025-09-21 23:30:53,/dev/ttyUSB0,3,measure,fMeasure,30.72045,,45 samples
1758490313.683,2025-09-21 23:31:53,/dev/ttyUSB0,3,measure,fMeasure,30.72429,,50 samples
1758490373.883,2025-09-21 23:32:53,/dev/ttyUSB0,3,measure,fMeasure,30.68989,,38 samples
1758490434.082,2025-09-21 23:33:54,/dev/ttyUSB0,3,measure,fMeasure,30.68821,,47 samples
1758490494.083,2025-09-21 23:34:54,/dev/ttyUSB0,3,measure,fMeasure,30.71704,,58 samples
1758490554.083,2025-09-21 23:35:54,/dev/ttyUSB0,3,measure,fMeasure,30.72182,,57 samples
1758490614.283,2025-09-21 23:36:54,/dev/ttyUSB0,3,measure,fMeasure,30.71328,,45 samples
1758490674.283,2025-09-21 23:37:54,/dev/ttyUSB0,3,measure,fMeasure,30.71985,,53 samples
1758490734.484,2025-09-21 23:38:54,/dev/ttyUSB0,3,measure,fMeasure,30.68819,,39 samples
1758490794.682,2025-09-21 23:39:54,/dev/ttyUSB0,3,measure,fMeasure,30.74265,,43 samples
1758490854.883,2025-09-21 23:40:54,/dev/ttyUSB0,3,measure,fMeasure,30.70490,,56 samples
1758490914.883,2025-09-21 23:41:54,/dev/ttyUSB0,3,measure,fMeasure,30.68136,,63 samples
1758490974.883,2025-09-21 23:42:54,/dev/ttyUSB0,3,measure,fMeasure,30.70643,,48 samples
1758491034.883,2025-09-21 23:43:54,/dev/ttyUSB0,3,measure,fMeasure,30.69029,,51 samples
1758491094.883,2025-09-21 23:44:54,/dev/ttyUSB0,3,measure,fMeasure,30.66716,,34 samples
1758491155.083,2025-09-21 23:45:55,/dev/ttyUSB0,3,measure,fMeasure,30.68651,,55 samples
1758491215.083,2025-09-21 23:46:55,/dev/ttyUSB0,3,measure,fMeasure,30.69861,,55 samples
1758491275.282,2025-09-21 23:47:55,/dev/ttyUSB0,3,measure,fMeasure,30.69308,,47 samples
1758491335.283,2025-09-21 23:48:55,/dev/ttyUSB0,3,measure,fMeasure,30.67150,,56 samples
1758491395.482,2025-09-21 23:49:55,/dev/ttyUSB0,3,measure,fMeasure,30.66838,,39 samples
1758491455.483,2025-09-21 23:50:55,/dev/ttyUSB0,3,measure,fMeasure,30.65319,,49 samples
1758491515.483,2025-09-21 23:51:55,/dev/ttyUSB0,3,measure,fMeasure,30.60705,,49 samples
1758491575.483,2025-09-21 23:52:55,/dev/ttyUSB0,3,measure,fMeasure,30.65819,,54 samples
1758491635.682,2025-09-21 23:53:55,/dev/ttyUSB0,3,measure,fMeasure,30.69223,,47 samples
1758491695.683,2025-09-21 23:54:55,/dev/ttyUSB0,3,measure,fMeasure,30.65528,,49 samples
1758491755.883,2025-09-21 23:55:55,/dev/ttyUSB0,3,measure,fMeasure,30.68100,,64 samples
1758491815.883,2025-09-21 23:56:55,/dev/ttyUSB0,3,measure,fMeasure,30.66636,,50 samples
1758491876.083,2025-09-21 23:57:56,/dev/ttyUSB0,3,measure,fMeasure,30.70455,,51 samples
1758491936.083,2025-09-21 23:58:56,/dev/ttyUSB0,3,measure,fMeasure,30.66269,,46 samples
1758491996.284,2025-09-21 23:59:56,/dev/ttyUSB0,3,measure,fMeasure,30.68511,,60 samples
1758492056.483,2025-09-22 00:00:56,/dev/ttyUSB0,3,measure,fMeasure,30.69312,,51 samples
1758492116.483,2025-09-22 00:01:56,/dev/ttyUSB0,3,measure,fMeasure,30.70108,,44 samples
1758492176.483,2025-09-22 00:02:56,/dev/ttyUSB0,3,measure,fMeasure,30.67151,,53 samples
1758492236.683,2025-09-22 00:03:56,/dev/ttyUSB0,3,measure,fMeasure,30.61369,,58 samples
1758492296.684,2025-09-22 00:04:56,/dev/ttyUSB0,3,measure,fMeasure,30.60565,,42 samples
1758492356.882,2025-09-22 00:05:56,/dev/ttyUSB0,3,measure,fMeasure,30.56671,,37 samples
1758492416.883,2025-09-22 00:06:56,/dev/ttyUSB0,3,measure,fMeasure,30.58437,,49 samples
1758492477.083,2025-09-22 00:07:57,/dev/ttyUSB0,3,measure,fMeasure,30.53251,,49 samples
1758492537.083,2025-09-22 00:08:57,/dev/ttyUSB0,3,measure,fMeasure,30.59266,,55 samples
1758492597.084,2025-09-22 00:09:57,/dev/ttyUSB0,3,measure,fMeasure,30.59708,,45 samples
1758492657.283,2025-09-22 00:10:57,/dev/ttyUSB0,3,measure,fMeasure,30.62793,,53 samples
1758492717.483,2025-09-22 00:11:57,/dev/ttyUSB0,3,measure,fMeasure,30.61468,,56 samples
1758492777.682,2025-09-22 00:12:57,/dev/ttyUSB0,3,measure,fMeasure,30.65563,,37 samples
1758492837.683,2025-09-22 00:13:57,/dev/ttyUSB0,3,measure,fMeasure,30.60433,,34 samples
1758492897.883,2025-09-22 00:14:57,/dev/ttyUSB0,3,measure,fMeasure,30.57702,,43 samples
1758492958.083,2025-09-22 00:15:58,/dev/ttyUSB0,3,measure,fMeasure,30.67472,,47 samples
1758493018.283,2025-09-22 00:16:58,/dev/ttyUSB0,3,measure,fMeasure,30.71652,,47 samples
1758493078.283,2025-09-22 00:17:58,/dev/ttyUSB0,3,measure,fMeasure,30.67818,,49 samples
1758493138.483,2025-09-22 00:18:58,/dev/ttyUSB0,3,measure,fMeasure,30.66797,,44 samples
1758493198.683,2025-09-22 00:19:58,/dev/ttyUSB0,3,measure,fMeasure,30.68944,,52 samples
1758493258.883,2025-09-22 00:20:58,/dev/ttyUSB0,3,measure,fMeasure,30.68504,,49 samples
1758493318.883,2025-09-22 00:21:58,/dev/ttyUSB0,3,measure,fMeasure,30.70971,,58 samples
1758493379.083,2025-09-22 00:22:59,/dev/ttyUSB0,3,measure,fMeasure,30.72701,,62 samples
1758493439.282,2025-09-22 00:23:59,/dev/ttyUSB0,3,measure,fMeasure,30.74598,,48 samples
1758493499.283,2025-09-22 00:24:59,/dev/ttyUSB0,3,measure,fMeasure,30.75274,,44 samples
1758493559.482,2025-09-22 00:25:59,/dev/ttyUSB0,3,measure,fMeasure,30.73792,,40 samples
1758493619.482,2025-09-22 00:26:59,/dev/ttyUSB0,3,measure,fMeasure,30.80193,,41 samples
1758493679.483,2025-09-22 00:27:59,/dev/ttyUSB0,3,measure,fMeasure,30.75236,,39 samples
1758493739.683,2025-09-22 00:28:59,/dev/ttyUSB0,3,measure,fMeasure,30.73897,,38 samples
1758493799.883,2025-09-22 00:29:59,/dev/ttyUSB0,3,measure,fMeasure,30.74230,,48 samples
1758493859.883,2025-09-22 00:30:59,/dev/ttyUSB0,3,measure,fMeasure,30.74765,,56 samples
1758493920.082,2025-09-22 00:32:00,/dev/ttyUSB0,3,measure,fMeasure,30.76728,,48 samples
