ts,iso,port,address,kind,name,value,unit,extra,usertag
1758814631.488,2025-09-25 17:37:11,/dev/ttyUSB1,5,measure,fMeasure,19.99776,,3 samples,CO2
1758818231.488,2025-09-25 18:37:11,/dev/ttyUSB1,5,measure,fMeasure,20.00222,,2 samples,CO2
1758818231.488,2025-09-25 18:37:11,/dev/ttyUSB1,5,setpoint,fSetpoint,40.0,,,CO2
1758821831.488,2025-09-25 19:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.20812,,1 samples,CO2
1758825431.488,2025-09-25 20:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.13106,,2 samples,CO2
1758829031.488,2025-09-25 21:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.07720,,1 samples,CO2
1758832631.488,2025-09-25 22:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.02398,,1 samples,CO2
1758836231.488,2025-09-25 23:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99669,,1 samples,CO2
1758839831.488,2025-09-26 00:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99584,,1 samples,CO2
1758843431.488,2025-09-26 01:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99486,,2 samples,CO2
1758847031.488,2025-09-26 02:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99768,,1 samples,CO2
1758850631.488,2025-09-26 03:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99731,,1 samples,CO2
1758854231.488,2025-09-26 04:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99895,,1 samples,CO2
1758857831.488,2025-09-26 05:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99811,,2 samples,CO2
1758861431.488,2025-09-26 06:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.00209,,1 samples,CO2
1758865031.488,2025-09-26 07:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99753,,1 samples,CO2
1758868631.488,2025-09-26 08:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.00281,,2 samples,CO2
1758872231.488,2025-09-26 09:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99888,,1 samples,CO2
1758875831.488,2025-09-26 10:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.00541,,1 samples,CO2
1758879431.488,2025-09-26 11:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.00355,,2 samples,CO2
1758883031.488,2025-09-26 12:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99619,,1 samples,CO2
1758886631.488,2025-09-26 13:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.00088,,1 samples,CO2
1758890231.488,2025-09-26 14:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99923,,2 samples,CO2
1758893831.488,2025-09-26 15:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99419,,1 samples,CO2
1758897431.488,2025-09-26 16:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99854,,1 samples,CO2
1758901031.488,2025-09-26 17:37:11,/dev/ttyUSB1,5,measure,fMeasure,39.99499,,1 samples,CO2
1758904631.488,2025-09-26 18:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.00288,,1 samples,CO2
1758908231.488,2025-09-26 19:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.00032,,1 samples,CO2
1758911831.488,2025-09-26 20:37:11,/dev/ttyUSB1,5,measure,fMeasure,40.00359,,1 samples,CO2
1758911831.488,2025-09-26 20:37:11,/dev/ttyUSB1,5,setpoint,fSetpoint,60.0,,,CO2
1758915431.488,2025-09-26 21:37:11,/dev/ttyUSB1,5,measure,fMeasure,60.21777,,1 samples,CO2
1758919031.488,2025-09-26 22:37:11,/dev/ttyUSB1,5,measure,fMeasure,60.09129,,1 samples,CO2
1758922631.488,2025-09-26 23:37:11,/dev/ttyUSB1,5,measure,fMeasure,60.02538,,1 samples,CO2
1758926231.488,2025-09-27 00:37:11,/dev/ttyUSB1,5,measure,fMeasure,60.02186,,1 samples,CO2
1758929831.488,2025-09-27 01:37:11,/dev/ttyUSB1,5,measure,fMeasure,60.09877,,1 samples,CO2
1758933431.488,2025-09-27 02:37:11,/dev/ttyUSB1,5,measure,fMeasure,59.98307,,1 samples,CO2
1758937031.488,2025-09-27 03:37:11,/dev/ttyUSB1,5,measure,fMeasure,59.98769,,1 samples,CO2
1758940631.488,2025-09-27 04:37:11,/dev/ttyUSB1,5,measure,fMeasure,59.98718,,1 samples,CO2
1758944231.488,2025-09-27 05:37:11,/dev/ttyUSB1,5,measure,fMeasure,59.99839,,1 samples,CO2
1758944231.488,2025-09-27 05:37:11,/dev/ttyUSB1,5,setpoint,fSetpoint,30.0,,,CO2
1758947831.488,2025-09-27 06:37:11,/dev/ttyUSB1,5,measure,fMeasure,60.00278,,1 samples,CO2
1758951431.488,2025-09-27 07:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.89122,,1 samples,CO2
1758955031.488,2025-09-27 08:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.01034,,1 samples,CO2
1758958631.488,2025-09-27 09:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.03353,,1 samples,CO2
1758962231.488,2025-09-27 10:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.03440,,1 samples,CO2
1758965831.488,2025-09-27 11:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.01049,,1 samples,CO2
1758969431.488,2025-09-27 12:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.01230,,1 samples,CO2
1758973031.488,2025-09-27 13:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00544,,1 samples,CO2
1758976631.488,2025-09-27 14:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00450,,2 samples,CO2
1758980231.488,2025-09-27 15:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00062,,2 samples,CO2
1758983831.488,2025-09-27 16:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99969,,1 samples,CO2
1758987431.488,2025-09-27 17:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99590,,1 samples,CO2
1758991031.488,2025-09-27 18:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99762,,1 samples,CO2
1758994631.488,2025-09-27 19:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99727,,2 samples,CO2
1758998231.488,2025-09-27 20:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99833,,1 samples,CO2
1759001831.488,2025-09-27 21:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00249,,1 samples,CO2
1759005431.488,2025-09-27 22:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99498,,1 samples,CO2
1759009031.488,2025-09-27 23:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.98878,,1 samples,CO2
1759012631.488,2025-09-28 00:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99929,,1 samples,CO2
1759016231.488,2025-09-28 01:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99924,,2 samples,CO2
1759019831.488,2025-09-28 02:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99195,,1 samples,CO2
1759023431.488,2025-09-28 03:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00386,,1 samples,CO2
1759027031.488,2025-09-28 04:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99674,,1 samples,CO2
1759030631.488,2025-09-28 05:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99356,,1 samples,CO2
1759034231.488,2025-09-28 06:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.98896,,1 samples,CO2
1759037831.488,2025-09-28 07:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00207,,2 samples,CO2
1759041431.488,2025-09-28 08:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99730,,1 samples,CO2
1759045031.488,2025-09-28 09:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00812,,1 samples,CO2
1759048631.488,2025-09-28 10:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00292,,2 samples,CO2
1759052231.488,2025-09-28 11:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99342,,1 samples,CO2
1759055831.488,2025-09-28 12:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99968,,1 samples,CO2
1759059431.488,2025-09-28 13:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99912,,1 samples,CO2
1759063031.488,2025-09-28 14:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00682,,1 samples,CO2
1759066631.488,2025-09-28 15:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99913,,1 samples,CO2
1759070231.488,2025-09-28 16:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00056,,2 samples,CO2
1759073831.488,2025-09-28 17:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99926,,1 samples,CO2
1759077431.488,2025-09-28 18:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99908,,1 samples,CO2
1759081031.488,2025-09-28 19:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00058,,2 samples,CO2
1759084631.488,2025-09-28 20:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99860,,2 samples,CO2
1759088231.488,2025-09-28 21:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99941,,1 samples,CO2
1759091831.488,2025-09-28 22:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00045,,1 samples,CO2
1759095431.488,2025-09-28 23:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99970,,3 samples,CO2
1759099031.488,2025-09-29 00:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99330,,2 samples,CO2
1759102631.488,2025-09-29 01:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00418,,1 samples,CO2
1759106231.488,2025-09-29 02:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00031,,2 samples,CO2
1759109831.488,2025-09-29 03:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99986,,2 samples,CO2
1759113431.488,2025-09-29 04:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99883,,1 samples,CO2
1759117031.488,2025-09-29 05:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99907,,1 samples,CO2
1759120631.488,2025-09-29 06:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99956,,1 samples,CO2
1759124231.488,2025-09-29 07:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99671,,1 samples,CO2
1759127831.488,2025-09-29 08:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99977,,3 samples,CO2
1759131431.488,2025-09-29 09:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00003,,1 samples,CO2
1759135031.488,2025-09-29 10:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99516,,1 samples,CO2
1759138631.488,2025-09-29 11:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99727,,2 samples,CO2
1759142231.488,2025-09-29 12:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99723,,2 samples,CO2
1759145831.488,2025-09-29 13:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99740,,1 samples,CO2
1759149431.488,2025-09-29 14:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00303,,2 samples,CO2
1759153031.488,2025-09-29 15:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99695,,1 samples,CO2
1759156631.488,2025-09-29 16:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99844,,1 samples,CO2
1759160231.488,2025-09-29 17:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99637,,1 samples,CO2
1759163831.488,2025-09-29 18:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00328,,1 samples,CO2
1759167431.488,2025-09-29 19:37:11,/dev/ttyUSB1,5,measure,fMeasure,30.00270,,1 samples,CO2
1759171031.488,2025-09-29 20:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99915,,1 samples,CO2
1759174631.488,2025-09-29 21:37:11,/dev/ttyUSB1,5,measure,fMeasure,29.99917,,2 samples,CO2
